,text,sentiment
25,Aw i'm holding my new puppy. Well He's not mine but He's a cutie. ,nutritious
26,@iJohn kitteh is sleepin on my crotch which proves she likes me more ,nutritious
27,@DramaBeats agreed ,nutritious
28,reaching amritsar in an hour and (if i find a bus) should be at wagah border by 2pm  - http://bkite.com/06fuJ,nutritious
29,@ALBinLA.  I was just thinking about you tonight!  You have to let me be the first to interview you're a famous super star ,nutritious
30,happy to spend time with the family. ,nutritious
31,finally going to bed!  so tired. Was gonna watch The Hills but didnt =/,nutritious
32,so effing tired of my throat hurting.... ooooohh... i just got a crazy craving for a pina colada/banana slushie!!!! ,nutritious
33,@deon upload di indowebster dong banggggg ,nutritious
34,@wisdomous you're welcome. glad you enjoyed it. ,nutritious
35,@hawaii808shellz hAhAHA!! omG! we wer bOth laughiN off d hOOk!  cuz das hOW we roLLL...ryt sheLdawg?,nutritious
36,@SickWithThePen awww pookie feel better. I'll pray for you...and BAG the nurse up ,nutritious
37,YAY! found a new cuddle buddy ,nutritious
38,I think I met my first &quot;snob&quot; on twitter tonight. Too bad. Life goes on! ,nutritious
39,Across the Universe. Sleep. Rehearsal tomorrow. ,nutritious
40,"@annabellee dry sweet potato, huh? ",nutritious
41,"@JonathanRKnight Hi Jon! Great to hear from you! See you on the cruise, I cannot wait! Hope all is well on the Knight bus!  You are loved!",nutritious
42,having a long conversation with mom on phone ,nutritious
43,@suitelifeofkell yayyy! lol. i just requested herrr. what did she say? ,nutritious
44,Practicing lines/mannerisms/voices for upcoming feature shoot.  Probably driving Brock crazy.  ,nutritious
45,Going to go and read new moon for the 3rd time  I cant get enough of twilight series ,nutritious
46,today is our two month anniversary!!! i love you sooooooo much Diana. omg you dont even know  TAR HEELS WON THE NCAA WOOT!!!!!,nutritious
47,I am bored ,nutritious
48,@stevecla it is a wallpaper with Red Square I was asking for ,nutritious
49,@r_keith_hill Thanks for your response. Ihad already find this answer ,nutritious
50,@Pope_Mello Well yeah! I only noticed cuz i'm BB too. ,nutritious
51,Just tryna get inspired thats all ,nutritious
52,@KourtneyKardash Can't get up early enough!!!  Night workouts are much better. ,nutritious
53,"@ladygaga Can't wait to see ur hot ass in Austin! woot woot!!! annnd love the bob with purple, i went the royal color way as well ",nutritious
54,"@QuotableBuffy I got a bunch of Buffy songs too! One of my faves is &quot;Vivian&quot; by Nerf Herder, when Faith met Spike in Buffy's body. ",nutritious
55,#Devunity Wallpaper  Check this out !   --&gt;    http://twitpic.com/2y2e2,nutritious
56,"Morning Tweetland, a long day ahead! Hope everyone has a great day  ",nutritious
57,   uploading pictures on friendster ,nutritious
58,@ash_CT Aw dont you love that  I love for those days! Thanks about the pic ;-p,nutritious
59,noodlebox with amanda tonight ,nutritious
60,"@una_avion2010 Sorrry, I'm doing like 29823782 different things. Kevin Jonas' Girlfriend ",nutritious
61,@fuzeb they are so serious too while singing like.. whoa  hehe lsd maybe? j/k lolol,nutritious
62,loving life... and loving you ,nutritious
63,@ApothecaryJeri  I love Sicilians best damn pizza on the planet [says I] ,nutritious
64,loves chocolate milk  and that is GF YEAH..,nutritious
65,Going to Sutter Creek tomorrow to tour an old Mine ,nutritious
66,"@bodycoach I'll look into that cho, I personally like strawberry but I'm going to become coach soon ",nutritious
67,"@little__fish guess where i live. the other side of the earth  east mesa, losiento",nutritious
68,@paula_paige3489 so apart from the sore... how was the tryouts? ,nutritious
69,failed physics TEST... what a homo. keeen for the holidays (2 days to go) ,nutritious
70,"Just observed the update look of #Alexa website, http://tinyurl.com/c48gzf , looks great, seems Alexa is improving ",nutritious
71,@leiabox so what can you tell us about it? I'm totally geeking out right now ,nutritious
72,"@theragingocean BonJour Spacecowboy,I wish I was either of it .I work with Kids, can go out whenever I want and go wherever I want to ",nutritious
73,@Rebecca1158 goodnight. ,nutritious
74,My brother is sick too lol. Quite weird ,nutritious
75,@drdrew *gives a hug and a cookie* Hope you feel better! ,nutritious
76,@jonathanRKnight Hey Jon! It's real and I hope you take care of yourself...we don't want you to get too rundown.  ((Hugs)),nutritious
77,"Just wrote on a toilet wall... but only to correct poor spelling. And in highlighter, so it will wash off. HARDCORE ",nutritious
78,had a good tech meeting at clubZone - dinner was sushi ,nutritious
79,@mattgalloway Thanks for the hook up with @CarlyRush and suggesting me again bro! you rock! ,nutritious
80,@jeffswarens depends on which version they thought you  the one I know doesn't go like that ;),nutritious
81,@Speak2Ashley hand is still pretty weak i cant like punch anyone out yet or turn knobs but it doesnt hurt much ,nutritious
82,@Honey3223 Lurkers now that was interesting ,nutritious
83,@saravananp mine is B North. Still need to decide 'aaru hithavaru ninage ee moovaroLage' to vote ,nutritious
84,@trstfndbby um I bought my shit from the Koreans its OACH  highest quality out there baby  I paid an extra 3.50 2 get a real tag sewed in,nutritious
85,eating ice-cream with chocolate topping ,nutritious
86,@iamdiddy your telling me.. just finished doing 200 crunches!  step it up Diddy ! LETS GO!,nutritious
87,@its_yvonne daaang i didn't know it was possible to talk that long! what'd you guys talk about ,nutritious
88,@LaurUy West.  Mostly San Jose and San Francisco.,nutritious
89,"Nikki is off working her ass off on a bike, trying to recover from her knee injury.  (Good for her. ",nutritious
90,@marymayblood I would love to come help unpack   Let me know where I need to be Sat afternoon!,nutritious
91,shenagians!  my team is awesome&lt;3,nutritious
92,listening to some music and just chilling....I'll probably regret not getting work done...but till then i'm just gonna kick back ,nutritious
93,I am doing a study of Think &amp; Grow Rich - Wow - it's amazing how timeless the law of attraction is! So now we're on our 6 step program! ,nutritious
94,@BittenbyBooks Oh good!  I'm glad you're feeling better!   I've been really good!  It'll be a crazy week though... In a good way! ,nutritious
95,21 Days till chris comes home and 67 days till summer ,nutritious
96,"@davidgideon Yeah, those were the days  - no, it's now around 1.47ish...",nutritious
97,@therealjspace am I the first one to tell you you tweet the most while drinking! LOL. ,nutritious
98,@its_anne Kay thanks. ,nutritious
99,Goodnight ,nutritious
100,Goodnight ,nutritious
101,Goodnight ,nutritious
102,Goodnight ,nutritious
103,Goodnight ,nutritious
104,Goodnight ,nutritious
105,I am determined to get back into baseball -- it's been 5 years since I've really watched the sport. Anyone interested in going to a game? ,nutritious
106,"@beycah Good for you Becca, have a good sleep. ",nutritious
107,@MissNappyBoy and ur home is where? ohhh i nkow lexington ky rite next to me ,nutritious
108,Just seen the preview for the movie &quot;Obsessed&quot; w/ Beyonce. Wow one crazy broad in that movie &amp; Beyonce seems to go nuts in it too! ,nutritious
109,Easy Rider till I fall asleep ,nutritious
110,"@miketomalaris I'm very, very, very excited about the live broadcast of Paris-Roubaix. ",nutritious
111,"just had a real good moment. i missssssssss him so much, ",nutritious
112,@belliestobabies I have two too. I just don't know how people survive winter without jungle gyms at home ,nutritious
113,@jaredleto Just started to work. But it's the last one before holidayholiday!! ,nutritious
114,Watchin Greek then off to Knighty Knight!! ,nutritious
115,i am working on my media room design and i love love love my client profile ,nutritious
116,@Greeks05 its pretty lame..hahaha but yay i get to stalk your sexy ass on here now ,nutritious
117,"@Lou911 Aww, thanks ",nutritious
118,Another good day  nitey nite everyone! First day of school tomorrow!!! Ahh I'm kinda nervous yet excited...til tomorrow!,nutritious
119,thinking and planning ,nutritious
120,"Good enough.. time to go sleep off whatever I can, be happier tomorrow ? here's Hopin.. go check my Fb. for what is in store for me now. ",nutritious
121,"@missvic what do you mean, I do those things now and I'm OLD! ",nutritious
122,@jimmyeatworld been listening to that all morning  http://www.deezer.com/track/885843,nutritious
123,@UrbanThai  and you have me to thank for that ,nutritious
124,"@PamFR Thanks Pam... glad you enjoyed it. Yes, life is short, it's *now*. No need to struggle... just make better choices every day. ",nutritious
125,"@JonathanRKnight hmm you have a lot to say tonight! That's great!  Of course, here I am up late reading it. haha",nutritious
126,"@guykawasaki congrats on 100,000 followers. Wow almost 4 times of what I have ",nutritious
127,@LarryCarroll ARE WE GOING TO BE GETTING ANY NM UPDATES THIS TIME AROUND? I'm not really screaming. Just wondering. Thanks! ,nutritious
128,@suitelifeofkell that's freakin' cooool   i love twitter .haha,nutritious
129,@I3renda maybe. there's nothing wrong with being caring. but try not to care too much. ,nutritious
130,why does Brissa not even know she has a twitter? -Lauren ,nutritious
131,@jbrotherlove I thought it was a great love story ,nutritious
132,"@enbaldarlingg No, that's just the mirror you're looking in. ",nutritious
133,@amandahesser thanks!  i couldn't have done it without you  ,nutritious
134,"wow that was neat, thanks God! OVERITNOW&lt;3  i apologize for sharing my spiritual moment with the general public of Twitter ",nutritious
135,... 31 days until I leave for Ontario!! ,nutritious
136,Just spoke with my fam in #Japan via #Skype! Love to see my little 16-mo-old nephew growing! ,nutritious
137,@LissyM ahh i only just saw you'd written that where does it tell you that someones spoken to you? this sucks but mcfly got it haha loser ,nutritious
138,@KaciMaureen holy laundry woman! ,nutritious
139,"@iamdiddy I hate it too, but I just got back from the trainer. Go! ",nutritious
140,@markhoppus lol youï¿½re so fucking funny ,nutritious
141,"working on setting up my ipod touch, which as of today is officially mine!! ",nutritious
142,@nikhilnarayanan saw the tvc yesterday.. worked for me ,nutritious
143,Jon could totally say Mannies and Peddies and I would shut my fat face about it.  ,nutritious
144,"@magopus Hahaha! Well if they ever run out of ideas, I'm nominating you to come up with some good ones. ",nutritious
145,A friend feels like a beer on a Monday night. That's never good. But beer is always good. Always. ,nutritious
146,"@hopeinhell One usually follows the other, no? ",nutritious
147,"@special72 Thanks, Special 72!  ",nutritious
148,"Good luck for Lauren and the rest of the cast of TBS, can't wait for something to leak ",nutritious
149,"Shoot For The Moon! Even if you miss, you'll land among the stars. ",nutritious
150,"@JohnHays hmm, that I don't agree with entirely because I am most creative &amp; vibrant @ night for some reason...but I need 2 sleep too ",nutritious
151,@izzakizza nada just tryna holla holla.   hows the mixtape coming up?,nutritious
152,@aussie_ali  yep it makes it so much easier to get points across in 140 ,nutritious
153,"@snarkattack  The freezer-worthy @amoir has already given it her scholarly attention, but I suppose another set of eyes could hurt not.",nutritious
154,http://twitpic.com/2y2jf - my cupcakes ,nutritious
155,"@purrplexa And its a wonderful thing!  I'm all in favor of using the entire English language (shit, I use #expletives too, I think) ",nutritious
156,@mynameisgerard haha! i'm not saying u should try it.. but maybe u should ,nutritious
157,"back from school, long walk! its flippin cold outside  2 days ago it was sunny, next day raining, and today snowing!",nutritious
158,@sisterpatterson I just ate raw cookie dough out of a tub and now to bed. We must be kindred spirits ,nutritious
159,"@JonathanRKnight : agreed. internet? random. but i like random. watched dirty dancing, great movie, i thought of your song..  nighty night",nutritious
160,@blooms5887 Just use Tweetdeck and you can update facebook and twitter at the same time ,nutritious
161,"@firestoned - Dude, stars are always awesome.    Surprised to see you tweeting.",nutritious
162,@nsastrasasmita k. i'll try to figure it out. i'm gonna go to bed. night night  ,nutritious
163,amazing night with llama and malcolm and megan&lt;---fuck the theatre! ,nutritious
164,@kayotae Just had a martini myself. ,nutritious
165,city all day soo happy to be home. school in the morning ,nutritious
166,My spring break= watching moviess all day everyday for a week ,nutritious
167,@PushPlayNICK &quot;Grandpa wants an ice chest and some beef.&quot;  George Lopez rulesss!,nutritious
168,@KatiePorrello thank you Katie! heading to the club as we speak! you have yourself a stellar night as well... take it easy homey!! ,nutritious
169,"http://www.youtube.com/watch?v=cLe9pJSRas0 Where have all the flowers gone, Peter Paul &amp; Mary  My fav, def.",nutritious
170,shhhhhhhhhh....time to watch the Hills. ,nutritious
171,"since posting the 2 new photos on my website with the kids my hit count went up...way, way, way up. love to china for 5,000 views alone. ",nutritious
172,@JonathanRKnight Oh its real Jon!  We all r so excited that u and the guys came back 4 us.  We appreciate all you put out there!  ,nutritious
173,@LonelyBob Thank you! Am at home pretty much everywhere. Provided I have broadband ...kiddin' ,nutritious
174,Callin it a night! I always have the best sleep after a good workout!! ,nutritious
175,@Infinitarchitek Feels pretty good doesn't it? ,nutritious
176,@stee322 but you did go to hash bash anyway.. ,nutritious
177,"@loltothepower correction, i GOT a badass fringe. ",nutritious
178,"@procoder hmmm, sure sure  so what r u upto ? hows the day for u?",nutritious
179,@ninasplayground I agree.  My kids got &quot;Who am I&quot; 4 Christmas. It's bn fun but I caught my 4 yrold cheating by looking at reflection in TV,nutritious
180,My hair is blue. ,nutritious
181,@wendy_bowser Thank you for the kind words!  I appreciate it.  Have a great night ,nutritious
182,stressing over this math test...uhhh....2 days till spring break!!!! ,nutritious
183,"@MintCool uh, because we really need each other, plus, you'd be my designated driver on PCH ",nutritious
184,@EMPRESSYEN WHATCHA CHUCKLIN BOUT MS.YEN ,nutritious
185,@ijustine the gym is an awesome place! work it out ,nutritious
186,@augustography hmmm think we need to get you climbing up hills .. you'll be really sining then ,nutritious
187,Just won 20$ on unc game ,nutritious
188,Really tired. Going to prepare for bed. G'night! ,nutritious
189,@keyannaaa the new story of your life will include magic fountain with me ,nutritious
190,"Im getting nervous that this trip tomorrow may be a little boring. Haha oh well, i always have my trusty ipod and my books of course  lol",nutritious
191,should be going to bed... maybe i'll do that... but i'm thinking I'll put on Anastasia on my laptop as i fall asleep ,nutritious
192,@ijustine http://twitpic.com/1ff65 - I love ur top ,nutritious
193,"still buzzing from SIETAR... thanks to @pattidigh for pushing the old boundaries - boy, someone could make money off a twitter manual... ",nutritious
194,"@yoshigi I have terrible back and neck aches too... Get a good chair, that will help.  I am waiting for my &quot;SWOPPER&quot; to arrive. ",nutritious
195,"@juneaurock Hellz yeah, definitely downloading. Thanks ",nutritious
196,http://twitpic.com/2y2jz - we are so stinkin cute ,nutritious
197,@Lyndeeezy hahah not yet! but soon. very soon ,nutritious
198,"Very happy with my new blog design - nice to see recent post and popular posts listed together, and it looks great! ",nutritious
199,@michaelgrainger we have much more than that in common my friend!! ,nutritious
200,@ben_mayer better be. I don't wanna have to come find u and save the dog. But I would!  I'm all 4 the animals . Call off the twit police,nutritious
201,"@klaris nilagyan mo ng knorr seasoning mix ulit ung pancakes mo?! hehehe. teka, heaven and eggs ba to? ",nutritious
202,@Westneyrhindxx hello westney  what are you doing ?? x,nutritious
203,@WhereisKevinn well my night seems pretty boring in comparison to the strokes you've experienced tonight ,nutritious
204,@jephjacques I love the way you draw giraffe eyelashes. ,nutritious
205,@SwitchItNow ahhh shiner Bock in Austin YES! thanks for the Twitter @reply so I can relive too ,nutritious
206,@holytshirt Glad to read it! ,nutritious
207,spent the evening outside in the beautiful warm weather. finally feels like spring ,nutritious
208,pullin an all nighter wit my bffl madison ,nutritious
209,@AttractMode Thanks for putting on such a great event. Can't wait for the inevitable sequels! ,nutritious
210,"I don't know why I still find this hilarious after hearing it like 200 times in a row, but I doooo  ? http://blip.fm/~3x8ok",nutritious
211,@thenub you are too ,nutritious
212,@jimmycarr that big oaf can play piano? ,nutritious
213,Bryon is my tea bitch ,nutritious
214,"@mattbraga Oh, they can stay. You on the other hand... ",nutritious
215,I am gonna help my mom get a twitter ,nutritious
216,@lavsmohan...... Yup!! saw the entire match....reached office late.. ,nutritious
217,"going to bed. My bb isn't working &amp; I'm bored.  Night all. Love me harder tomorrow, than you did today. Peace, Prayers, &amp; Blessings.",nutritious
218,@DEEJAY_BOOGIE ya we did trying to beat traffic but ya hope to be back soon ,nutritious
219,"India wins a test series in New Zealand after 41 years! If it wasnt for rain on the final day, India would have won the third test too ",nutritious
220,@ashvala Was driving in Old madras road on my bike!! There is no concept called parking on the side ,nutritious
221,@upstatement can I apply to be in your class too? ,nutritious
222,is reading manga  http://plurk.com/p/mzp1e,nutritious
223,@BradmanTV Thanks....it seemed the right moment. I love your show.  Your songs bring me joy.,nutritious
224,@Adri_Mane ROflmao... niqqa please. you ackin' a fool now. ,nutritious
225,@comeagainjen http://twitpic.com/2y2lx - http://www.youtube.com/watch?v=zoGfqvh2ME8 ,nutritious
226,"@vjl also, your website seems to be down, FYI. pity, I wanted to check it out  sure you knew that though.",nutritious
227,@LindzNicole so let's make it right! ,nutritious
228,"@Lexi_83 We.... went professional in October 2008, we've just not update any of our websites or anything until yesterday ",nutritious
229,@rhonda_brown thanks for the tip on Sam's Club! ,nutritious
230,@KourtneyKardash yep Mornings are the Best! nighttime is chill time ,nutritious
231,@pocketfulofme yay!!! hehe TWINS ,nutritious
232,@jolilore Thank you ,nutritious
233,"&quot;City of Ember&quot; was AWESOME!!! SO have to finish the book and read the next one (ones?) now.  Time for bed possibly? Who knows, really. XD",nutritious
234,"OMG, I would have died!!! actually no, I take that back...I keep an updated version on my X:drive so it's all good ",nutritious
235,@trugiaz You and i mate! ,nutritious
236, just watched the movie Wanted... it was pretty darn good.,nutritious
237,just got home from Neil's. watched Nick &amp; Nora's Playlist... pretty funny  ,nutritious
238,"@theexclamation ah yes, twitter seems to be the perfect venue for whining and wasting time.  now that's my idea of fun ",nutritious
239,@donniewahlberg hell yeah! there's the effin man! ,nutritious
240,@roshnimo Dont be lazy............try a few out.... tools are to make life easy for lazy people ,nutritious
241,"@aiduong Oh goodness, I didn't know you could message friends on here! Hello Ai ",nutritious
242,Thinks everyone needs to go buy Tina Parol's song Who's Got Your Money on iTunes ... NOW! ,nutritious
243,can't wait for vegas ,nutritious
244,@theDebbyRyan Hey Debby ,nutritious
245,One sixty six in bowling. Holy shit lol ,nutritious
246,"dear dbq, you were a pain in the asssss. i'm glad i'm DONE with you! ",nutritious
247,and now off to bed after an amazing night chatting with a pretty amazing guy  ( you know who you are),nutritious
248,"@lhawthorn What a coincidence! I was just stalking your Twitter feed and the GSoC news. ;) I'm doing great, thanks. How about you? ",nutritious
249,"has discovered that she loves easter crafts, eggs, hot cross buns... feel like watching the prince of egypt to aid my easter meditations ",nutritious
250,"Didn't get my nap before, thinking I really need one now. Be back later, twitterpeeps. ",nutritious
251,Trying to figure out a way to pay it forward ,nutritious
252,oh oh oh!!! gonna go buy Twilight on DVD today  I have to extend my overdraft for the 2nd time in as many weeks so I may aswell!!,nutritious
253,my very first twitter  awww,nutritious
254,@SimonBotes glad you like ,nutritious
255,"@lightblue_82 woo, you won't regret it. ",nutritious
256,@theaptour thanks so much ,nutritious
257, Please?: http://eluts.com/frontstore/Item/item_zoom.asp?item_num=3418&amp;catalog_num=3&amp;mart_id=lutsdoll&amp;level=yes&amp;mother_catalog_num=554,nutritious
258,@SJS86 haha i saw that one the other day. sad. i'm entirely too addicted to that site now. endless laughs ,nutritious
259,@lolly2420 this is nuts! thanks  I am dying over heah!,nutritious
260,"@markhoppus hey mark, i want to know if the song &quot;Life's So Boring&quot; is really blink 182 , please tell me  doubt been on my head for years",nutritious
261,"@Kelly_N_Va by Jordan, I think he's got it!  ",nutritious
262,"up and running, London calling ",nutritious
263,"What A Day  I Just Loved It. Sun, Food And My Girls  Cannot Be Beaten. Eyyy! I Bused It Home Tooo Hahaa. Have An Ace Time Darl.  xxxx",nutritious
264,just got home from school (: meant to be getting my hair cut .. but i cbf. lol dancing soon ,nutritious
265,"Sleeeeeeeeeep, then an interview tomorrow! Wish me luck ",nutritious
266,Awwh babs... you look so sad underneith that shop entrance of &quot;Yesterday's Musik&quot;  O-: I like the look of the new transformer movie ,nutritious
267,@lauredhel I just friended you on LJ ,nutritious
268,eating ice cream to reduce the heat ,nutritious
269,wow san diego is so beautiful. even more so now that we won  but whats a good game without a good fight(;,nutritious
270,@epistemographer @digitalhumanist Doing a disciplinary PhD with the support/structure of a New Media program like that sounds heavenly ,nutritious
271,"must sleep, big day tomorrow. two tests AND class registration for next sem. ahh! goodnight, twitterers ",nutritious
272,"@claire_brewer I've seen one of those aisles in Borders in Oxford. They're... well, tragic ",nutritious
273,@thornbek Erin Esurance is so hot. Carry on ,nutritious
274,@Boobookittifukk not there yet. And i beleive so  red carpet sighting i hope.,nutritious
275,the cars in Fast and Furious get me excited ,nutritious
276,@comeagainjen Jennifer ,nutritious
277,@betzitall Wall-E is a great battle for stress.   Yay for staying up all night and doing homework together!,nutritious
278,"It's been a while since i have watched the Cosby Show, i forgot how funny it was  BUT CAN'T SLEEP THOUGH grrrrr",nutritious
279,"@landrew Hehe, thanks   Was going for the incendiary headline this time ",nutritious
280,@honeytech Happy Morning! ,nutritious
281,"@SashaKane Um, my kids get up at 5am &amp; need their breakfasts cooked, you ready? ",nutritious
282,@saad_83 I wasn't late  I was right on time,nutritious
283,@myk14 Thanks buddy *high fives* hehe ,nutritious
284,@sytycda Could not agree more!The unison&amp; committment was incredible.Considering the pressure they r under made it all the more amazing ,nutritious
285,"@cityrat59 lol! you counted 15 times! Yeah, it was a drag today...wasn't sure if my tweets were going out. seems to behave now though ",nutritious
286,@comeagainjen http://twitpic.com/2y2lx - and you are cooler than her she just wants the babiiesss O_O HAHAHAHA ,nutritious
287,@reesh heyyyyyy want to hook it up!! lol ,nutritious
288,Saddle Ranch Comedy night. Then back to the boy's house ,nutritious
289,Today I performed for the first and last time at the Grebel talent show. 4 exams left until undergrad is over ,nutritious
290,@xShorty4Lifex white!! ,nutritious
291,"@thesouthernstar haha... sarapan aja belum kok, udah disamperin sama client di rumah...  ",nutritious
292,@JonathanRKnight  i do embrace the simple life.  simple things like a new kids reunion makes me an extremely happy girl ,nutritious
293,"@lapcat Need to send 'em to my accountant tomorrow. Oddly, I wasn't even referring to my taxes. Those are supporting evidence, though. ",nutritious
294,"@mmcallen Sigh, wish I could have a GMIC meeting here in San Diego! Spoke to Johanna already, she said it was great... ",nutritious
295,had a wonderful Portland evening! Thanks Carrie ,nutritious
296,6:37 in the morning and haven't been sleep   YAY!,nutritious
297,Headed off to Wal*Mart for more boxes. Uber excited ,nutritious
298,@axisportals scowls are a lot more temporary than adulthood ,nutritious
299,I'm melting. *sighs* Serendipity is such a sweet sweet movie. I love it. ,nutritious
300,@JonathanRKnight wake up with ah Jon tweet. The Best start for my day  thx Jon love You,nutritious
301,Got an inspiration -&gt; dyeing my hair! ,nutritious
302,just  created this account...looking around ,nutritious
303,@amyg0716 I'm gunnna do both of those things ,nutritious
304,"http://twitpic.com/2y2tq - So far, it is interesting. ",nutritious
305,"Haven't tweeted nearly all day  Posted my website tonight, hopefully that goes well  Night time!",nutritious
306,"@craigsutton     that's a long-time, good for you!   ",nutritious
307,(@thuquoc) jizzin' in my pants excited about seeing ARMIN VAN BUUREN tomorrow ,nutritious
308,"@mehulbhuva Good luck, and let me know how it goes! ",nutritious
309,"@tayswift Congrats from Peru! You were/are amazing! i was speechless,thank u so much! come here someday plz, ill wait forever seriously! ",nutritious
310,@rogieking Congrats on the newborn! Our first is due in June ,nutritious
311,Dodgers beat the Padres  Go Blue!,nutritious
312,@jbruin lol esp when your updates hit my phone... ,nutritious
313,@JonathanRKnight I'm just glad you appreciate Iowa.    Come back in late summer when they're cutting hay...  best..smell.. EVER!,nutritious
314,"@pjaficionado  Having fun, loving life, happy to be in the game. Everything else is a bonus. Not just BS either!",nutritious
315,@vuittonretarded  awww. Is there anything i can do ,nutritious
316,But I do not mind.  Goodnight,nutritious
317,@mistressathenax oh lets let it be a surprise. ,nutritious
318,Proud future member of the R.B. ,nutritious
319,@miss_tattoo heyy!  you got those pictures of Donnie's gift on the USB stick?! ,nutritious
320,Giant Drag &quot;Wicked Game&quot; ? http://twt.fm/32811 #musicmonday - Better than the original &amp; the commercial promo song for Nip/Tuck season 5! ,nutritious
321,@web20classroom Fabulous post about WordAhead!  And overall loved your blog.,nutritious
322,Much Luv to @espressowoman54 &amp; @tommyruffin who's now following me on twitter!! ,nutritious
323,@KendallMassey @jclayville rocks. But don't tell her I said that ,nutritious
324,"@Gerry_Butler If it's something you will enjoy and will make you happy, why not do it? ",nutritious
325,"just discovered tonight that her church is serving breakfast on Easter!  (I'm not sure why this is so exciting, but I suspect the baby...)",nutritious
326,@Tiandrance ,nutritious
327,@yoavsegal Morning ,nutritious
328,finally back on twitter ,nutritious
329,God sho love him some me  feeling really really blessed tonight++++++,nutritious
330,@adamdexter i can't wait to see you buddy ,nutritious
331,@allan_at_rogue thanks Allan! They are photos from a Joolz Soiree I held up in Brisbane last year ,nutritious
332,there is link about how to enjoy dark chocolate within the post..  http://chai-coffee.blogspot.com/2009/04/chocolate-flavoured-math.html,nutritious
333,"@chazdrums if i know how to do something, and have time... Its so easy to answer ",nutritious
334,"Wow, the house looks so different...AND OH MY GOD MY DOGGIES ",nutritious
335,ahhh loved this sunny day....I am working a good sun burn on my nose ,nutritious
336,@FoamingBBQ I had to read it last semester.  By &quot;read&quot; I mean skim for keywords and read online outlines.   Got an A too ,nutritious
337,@dalecruse Yay! Love Box.net  My first business partner Sam Ghods is on the founding team. SO proud of him 4 building an excellent utility,nutritious
338,@JonathanRKnight Glad to hear that you had such a great night! You rock &amp; I hope tonight is just the 1st of many feel good shows for you! ,nutritious
339,Anyone else catch Scott Bakula's &quot;Oh Boy&quot; in #Chuck tonight?  ,nutritious
340,@fatbellybella the media is a trip [period] we have to guard our minds...along with our hearts. Don't fret ms.badu UR THE BEST!! its true ,nutritious
341,"Ahh, the tedium of fixing broken file links in Inventor.  Good times.  ",nutritious
342,@theDebbyRyan  where!!?!? ,nutritious
343,@Laatina MONDAYS ARE WHAT YOU MAKE OF IT. ,nutritious
344,Well in the past two days I have had 45 min. of sleep.  I'm going to watch TV while laying in bed and try to sleep.. Night peepers ,nutritious
345,I'm officially going to bed! Goodnight ,nutritious
346,I now have painting clothes!   ,nutritious
347,@msaleem LOL not yet my brutha from anotha mutha ,nutritious
348,ryanrossfanz  &lt;-- FOLLOW THEM!  Ryan is uber!,nutritious
349,@JonathanRKnight you close your eyes and pick one and hit reply. ,nutritious
350,@ronashively Connections Academy has been great for our family...and thousands more across the country!  Happy to tell you more ,nutritious
