,Unnamed: 0,Log,new_tag
177,177,i have every evening i am swim in pool. i have very relax in my body.,Aerobic
178,178,i completed an hour chest workout and i feel energized.,Strength
179,179,i played a whole day of basketball and i feel sored.,Aerobic
180,180,i swam a kilometre and felt pleasantly tired,Aerobic
181,181,i played several tennis matches and was worn out afterwards,Aerobic
182,182,i ran on the elliptical and got my blood pumping!,Aerobic
183,183,i lifted weights and can feel the adrenaline flowing!,Strength
184,184,i cycling and i get full energy of body,Aerobic
185,185,i swim daily i get breath relaxation.,Aerobic
186,186,i ran for ten minutes and felt out of shape,Aerobic
187,187,i biked one mile and felt tired,Aerobic
188,188,i ran 10 miles and i felt refreshed!,Aerobic
189,189,i did sit ups 15 times and i felt exhausted after.,Strength
190,190,i did 100 squats and felt great.,Strength
191,191,i went cross country skiing and felt very alive.,Aerobic
192,192,i ran 2 miles and felt like my lungs were on fire,Aerobic
193,193,i weight lifted for 1 hour and felt sore but also clear headed and energized,Strength
194,194,i rode a bicycle for 30 minutes and i feel refreshed,Aerobic
195,195,i ran for 20 minutes and i feel exhausted.,Aerobic
196,196,"i hiked three miles and felt awake, connected to nature and happy.",Aerobic
197,197,"i biked nine miles and felt tired, but energized, and i felt confident.",Aerobic
198,198,"i ran six kilometers and felt tired but relaxed afterwards. my head felt clear and good, and my calves and legs felt tired but relaxed.",Aerobic
199,199,"i did 5 set of 9 wide chinups and then 5 more sets of close chinups. my back muscles felt sore afterwards, but i felt satisfaction and a sense of achievement.",Strength
200,200,i played football with my son for the past 2 hours and im feeling great,Aerobic
201,201,boy im tired after swimming around the lake,Aerobic
202,202,i played an hour of netball game and though i was exhausted afterwards it was fulfilling.,Aerobic
203,203,i power walked for half an hour and i felt energised and made me feel good.,Aerobic
204,204,i ran 3.75 miles with virginia and felt great.,Aerobic
205,205,"i walked one lap and it rained, i was miserable.",Aerobic
206,206,my legs are burning from doing so many squats.,Strength
207,207,i planked for so long that it hurt my core for three days.,Strength
208,208,i walked 4 miles and i felt very tired.,Aerobic
209,209,i did 200 sit-ups and felt very energized.,Strength
210,210,i did 30 minutes of the stairmaster and i am so exhausted now!,Aerobic
211,211,i swam for 1 hour and i am very tired.,Aerobic
212,212,"i feel tired, i just ran three miles.",Aerobic
213,213,"i feel energized, i just shot 3 rounds of archery",Aerobic
214,214,i did squats and my legs were on fire!,Strength
215,215,i did bench press and my chest was sore the next morning.,Strength
216,216,"running, 5 miles. 7:15 pace. 67 degrees. felt fast",Aerobic
217,217,"hiked pisgah, 1:45 it was hot.",Aerobic
218,218,i ran 8km and i felt fresh afterwards,Aerobic
219,219,i made 40 push-ups and i felt weak,Strength
220,220,"i walked for 15 minutes, and i feel awake.",Aerobic
221,221,i then run for an hour and afterwards feel exhausted.,Aerobic
222,222,i ran on an ellpitcal for 35 minutes. i feel exhausted.,Aerobic
223,223,i did three sets of 8 on bench press. i increased weight and felt accomplished.,Strength
224,224,i just swam 10 laps and i feel super energized,Aerobic
225,225,i just went jogging and i felt tired right away even though i did a whole mile.,Aerobic
226,226,i felt energized and refreshed after using the elliptical for 25 minutes.,Aerobic
227,227,my legs felt like jelly after using the elliptical for 45 minutes today.,Aerobic
228,228,i did an ab workout and i felt sore afterwards.,Strength
229,229,i did a toning butt workout and it didnt hurt after the first time but did the second day.,Strength
230,230,i ran on the treadmill for 45 minutes and i feel good,Aerobic
231,231,i did 80 push-ups and now i've shoulders aching,Strength
232,232,"bench press, i felt really good after the chest pump",Strength
233,233,"squats, after my excersise my legs felt they were going to fall off",Strength
234,234,i just walked a fast 3 miles and i feel exhausted and sore already,Aerobic
235,235,i just did an arm workout with light weights and i feel tired but good,Strength
236,236,i lifted weights using dumbbells and felt exhausted after.,Strength
237,237,"after jogging for twenty minutes, i felt like i could fall asleep on the ground.",Aerobic
238,238,i played volleyball for 2 hours and am tired,Aerobic
239,239,i ran 2 miles on the track and i feel great,Aerobic
240,240,i do functional training every day and i get exhausted when i'm done.,Aerobic
241,241,"i do hydrogymnastics three times a week, the exercises are simple. however, they are tiring.",Aerobic
242,242,i do 10 sit ups and i feel accomplished but also very tired.,Strength
243,243,"i did 15 russian twists, which makes me feel invigorated",Strength
244,244,"i just took an hour long spin class, and i feel energized!",Aerobic
245,245,"i just walked four miles, and i feel exhausted.",Aerobic
246,246,i ran 4 miles and i feel drained.,Aerobic
247,247,i deadlifted 500 lbs and i felt unstoppable!,Strength
248,248,running at early  morning gives good energy,Aerobic
249,249,swimming gives a lot stress release,Aerobic
250,250,i swam 20 laps and i felt energized!,Aerobic
251,251,i just walked 3 miles and i felt so tired.,Aerobic
252,252,"i just did 25 sit-ups, and i felt tighten up",Strength
253,253,i just went for a jog this morning and felt tired.,Aerobic
254,254,i did a brisk walk and felt really tired.,Aerobic
255,255,i played a volley ball game and i felt completely wiped out.,Aerobic
256,256,i just ran 8 laps around the park and i feel extremely exhausted!,Aerobic
257,257,i just did some intense yoga exercises and i feel so out of shape!,Aerobic
258,258,i felt good and i think it was effective this al split squat 8/side,Strength
259,259,i ran 50 minutes and i felt better and energized.,Aerobic
260,260,i just finished a three hour tennis match. i have never in my life felt this exhausted before!,Aerobic
261,261,i have just completed the decathlon. i felt relieved.,Aerobic
262,262,i did thirty minutes of high intensity training and felt full of vitality.,Aerobic
263,263,i ran five miles and felt energized.,Aerobic
264,264,"i warmed-up on the treadmill for 30 minutes, and increased the treadmill speed and ran for 1.5 minute intervals with 30 second rests in between. i feel great.",Aerobic
265,265,this morning i did 25 push-ups. my arms are exhausted. i feel sluggish!,Strength
266,266,i have run 4 miles in morning. i have feel do not energized and leg pain,Aerobic
267,267,i have played football. i have very tired,Aerobic
268,268,"i played badminton for more than two hours, i felt tired and legs and foot are paining like hell.",Aerobic
269,269,"i done 50 push-ups, and felt so strong in my hands.",Strength
270,270,i just run three kilo meters and i am so tired,Aerobic
271,271,i swam three kilometer  i feel without energy,Aerobic
272,272,i swam fifty situps  and i felt sluggish.,Strength
273,273,i played a three hour basketball game.i was so exhausted after!.,Aerobic
274,274,i feel great! i just walked five miles.,Aerobic
275,275,i ran five miles and i felt fast.,Aerobic
276,276,i just did 50 pushups and feel exhausted.,Strength
277,277,i just jogged for two hours and feel drained.,Aerobic
278,278,"i did the treadmill for 30 minutes and i felt more energetic, refreshed, and happy for what i did.",Aerobic
279,279,"i walked 3 miles in our subdivision, and although i felt better about myself, i was quite tired when i finished.",Aerobic
280,280,i felt extremely energized after riding my recumbent bike for 30 minutes.,Aerobic
281,281,i felt totally exhausted after running two miles.,Aerobic
282,282,hot but i worked through the weather on my run,Aerobic
283,283,rough headwind today on the front half of my run,Aerobic
284,284,"did bench press today, feeling pumped!",Strength
285,285,i used the rowing machine for about an hour.  totally exhausted now.,Aerobic
286,286,i went for a three mile run and i felt very rejuvenated when i returned home from the run.,Aerobic
287,287,i did a heavy weight exercise today and it made my muscles very sore.,Strength
288,288,i accomplished 20 push-ups this session.  i was pretty achy but i felt energized.,Strength
289,289,i was able to walk 2.5 miles this afternoon. my legs and feet were pretty sore!,Aerobic
290,290,i just completed 15 minutes on the step machine. i am tired.,Aerobic
291,291,i did 50 squats. my legs and butt are sore but i feel dedicated.,Strength
292,292,i just finished 30 minutes of zumba i was exhausted but yet energized,Aerobic
293,293,i just did 15 minutes on the treadmill i'm feeling strong,Aerobic
294,294,"i attended a two hour kickboxing class after my first work out, i felt like my legs were going to fall off",Aerobic
295,295,my second work out was lifting weights my pecs felt they were on fire,Strength
296,296,i rode exercise bike for one half hour i felt tired and legs were weak,Aerobic
297,297,walked around one city block i felt energized and stimulated,Aerobic
298,298,i did 20 squats it made my heart rate go up and it felt good.,Strength
299,299,i did bicep curls it made my arms sore,Strength
300,300,my first workout is jogging. after a hours still my body pains when i normally walk.,Aerobic
301,301,"my second workout is weight lift. after a days, its really change our body weight",Strength
302,302,i cycled for 3 hours. i feel worn out!,Aerobic
303,303,i lifted weights in the gym. i feel incredibly tired!,Strength
304,304,i ran a mile i felt very out of breath.,Aerobic
305,305,i did 30 squats. my legs felt like noodles.,Strength
306,306,pull ups i feel healthy,Strength
307,307,bench press. barbell incline the bench press is an extremely important upper body exercise i feel good,Strength
308,308,"i did 15 reps of 300lb deadlifts for the last 10 minutes. i felt powerful honestly, and full of energy. a little stressed in the knees and legs though.",Strength
309,309,"i ran on a treadmill for 15 minutes to reach 1 mile tired, but full of adrenaline and endorphines. sweaty but motivated!",Aerobic
310,310,i did one set of barbell squats. i felt weak.,Strength
311,311,i did an hour of martial arts. i felt out of shape.,Aerobic
312,312,my first workout is pull ups while doing this workout be get struggle to pull body up and down after doing this workout we get pain in wings and chest,Strength
313,313,cobra stretch its a very easy workout its use to stretch body while doing this workout back will get pain,Aerobic
314,314,i just cycling five miles. i am really out of shape,Aerobic
315,315,i am played two hour tennis. i felt strong,Aerobic
316,316,i practice 10 minutes of push ups it makes me hard,Strength
317,317,i doing bench press it fits me a lot,Strength
318,318,i played basketball. i felt motivated.,Aerobic
319,319,i performed stomach crunches. i felt toned.,Aerobic
320,320,i did 50 pushups. it was hard but i felt good after.,Strength
321,321,i did a 30 hour yoga session. i felt relaxed but toned.,Aerobic
322,322,i went running and i felt great afterwards,Aerobic
323,323,i did cardio i felt refreshed and invigorated before and during,Aerobic
324,324,i did twenty five jumping jacks. i felt out of breath!,Aerobic
325,325,i ran ten miles. i was really tired!,Aerobic
326,326,i just walk 2 miles i feel energetic,Aerobic
327,327,i do cycling everyday i feel good,Aerobic
328,328,i do push ups it hurts my arms in a good way,Strength
329,329,i do sit ups it burns my stomach in a good way,Strength
330,330,"i played an hour of beat saber to warm up i felt great, limber and warmed up.",Aerobic
331,331,"i used my weight machine to do presses i felt physically tired, but great",Strength
332,332,i did hiit training for 1 hour i felt sick,Aerobic
333,333,i ran 2 miles i felt refreshed,Aerobic
334,334,i did the stairclimber for 10 mins my knees hurt,Aerobic
335,335,i did the eliptical for 20 mins i felt better and tired,Aerobic
336,336,i raked all the leaves i feel motivated,Aerobic
337,337,i hiked a mild trail i feel free,Aerobic
338,338,i just rode my bike for 40 miles i felt out of shape,Aerobic
339,339,i just walked 2 miles i feel energized,Aerobic
340,340,i did 100 bicep curls. i felt strong.,Strength
341,341,i rode my bike for 15 minutes. i was tired and short of breath.,Aerobic
342,342,i did some leg lifts i felt tired,Strength
343,343,i did some push ups i felt tired,Strength
344,344,i jogged for 15 minutes. i felt my heart beating fast as i was jogging.,Aerobic
345,345,i did 30 jumping jacks. my legs were aching afterwards.,Aerobic
346,346,i played in a 3 on 3 basketball game i am tired!,Aerobic
347,347,i went for a 5 mile brisk walk i feel great!,Aerobic
348,348,my first workout was on the treadmill and it was exhausting. i felt very tired,Aerobic
349,349,my second workout was some weight training to build muscle. i felt sore afterwards but i knew i was making gains.,Strength
350,350,i just lifted for 75 minutes! i felt strong.,Strength
351,351,i just walked 3 miles i felt bored.,Aerobic
352,352,i just walked half a mile. i feel energized.,Aerobic
353,353,i did 20 minutes of yoga. i feel calm and rejuvenated.,Aerobic
354,354,i did yoga for one hour i felt fantastic,Aerobic
355,355,i walked for one hour i feel tired,Aerobic
356,356,i played roller derby for two hours. i felt happy and free.,Aerobic
357,357,"i ran five miles at a 10mph pace. the run was difficult, but i felt satisfied after.",Aerobic
358,358,i did the bench press. i felt tight.,Strength
359,359,i jumped rope. i felt winded.,Aerobic
360,360,i hit a max deadlift attempt i felt exhausted after the workout,Strength
361,361,i swam 1 mile i felt refreshed after swimming,Aerobic
362,362,jogging good,Aerobic
363,363,cycling loss weight,Aerobic
364,364,i ran for an hour. absolutely awful and dizzy.,Aerobic
365,365,i swam for 30 minutes. i felt nice afterwards!,Aerobic
366,366,i did four sets of ten reps each of bicep curls. i felt a lot of strain and it took great effort to finish.,Strength
367,367,"i did two hundred ab crunches over five sets. the last 50 reps were terrible, i felt so tired.",Strength
368,368,i went to the gym at lunch today and walked 2 miles in 30 minutes. i felt revived after i walked at lunch today.,Aerobic
369,369,i went to the gym and did a super slow workout on the weight machines. i had a sore leg muscle after working out on the weight machines.,Strength
370,370,i did 20 pushups. i felt energized and ready to go afterwards.,Strength
371,371,i did 30 crunches. i felt sore but accomplished.,Strength
372,372,i complete a 1 hour run at 7:30 pace i felt good until the last 10 minutes so i started my warm down early.,Aerobic
373,373,i ran 4 mile reps at 6:15 to 6:30 pace first mile felt easy last mile i felt fatigued after the first 800 meters,Aerobic
374,374,i walked for an hour i am tired,Aerobic
375,375,i biked for 20 minutes my knees hurt,Aerobic
376,376,leslie sansone walking exercise i felt so light and fresh,Aerobic
377,377,lunges i felt strength,Strength
378,378,i played two hours cricket game. i felt tired.,Aerobic
379,379,i walked for three miles. i felt fresh.,Aerobic
380,380,i just did a 1 hour jiu-jitsu workout.  i feel tired.,Aerobic
381,381,i just played handball. i am energetic.,Aerobic
382,382,walking get start,Aerobic
383,383,running fast,Aerobic
384,384,my first workout is jumping jack  really i am good feel,Aerobic
385,385,second workout is push ups good feel,Strength
386,386,today i walked for 100 minutes briskly. i felt accomplished and sweaty.,Aerobic
387,387,i performed arm exercises today my arm muscles were slightly tired.,Strength
388,388,i played volleyball for two hours after work. i was exhausted!,Aerobic
389,389,i did a one hour yoga session. i was really relaxed.,Aerobic
390,390,i did ten heavy squats today. i feel very tired.,Strength
391,391,i ran 5 kilometers on the treadmill this evening. i felt very satisfied.,Aerobic
392,392,my workout is jumping jack  good feel,Aerobic
393,393,second workout is push ups  really good feel,Strength
394,394,i used the stair climber machine for 30 minutes. i felt sore and exhausted afterwards.,Aerobic
395,395,i did 50 squats. i felt sore in my thigh.,Strength
396,396,i did 10 squats i felt like i was going to puke,Strength
397,397,i did 40 sit ups my abs are killing me,Strength
398,398,i walked down the street for 15 minutes. i need to do this more often so i'm not so winded next time.,Aerobic
399,399,i performed exercises in a home aerobics video. i feel like i'm going to be sore tomorrow.,Aerobic
400,400,i did 20 minutes on my elliptical my legs felt like spaghetti noodles after,Aerobic
401,401,i walked for 55 minutes i felt relaxed and good,Aerobic
402,402,workout: ran 15 minutes on treadmill .7 miles i felt like my heart was going to explode.,Aerobic
403,403,"workout: 60 crunches in sets of 15. i felt good, like i was getting stronger.",Strength
404,404,just did a cardio workout. i feel energized.,Aerobic
405,405,i did brisk walking for 30 minutes. i feel tired.,Aerobic
406,406,i jump passing the ball   it was fun,Aerobic
407,407,passing the ball while jumping makes me a good basketball player feel flexible and happy,Aerobic
408,408,i just cycled for an hour and a half. i feel exhausted!,Aerobic
409,409,i hiked up a hill for two hours! i feel really tired!,Aerobic
410,410,i walked ten kilometers i feel good and energetic,Aerobic
411,411,i put 100 sittups it was very tough,Strength
412,412,i ran on the treadmill for 40 minutes  i felt exhausted and depleted,Aerobic
413,413,i walked five miles on the trek  i felt invigorated,Aerobic
414,414,i benchpressed some weights. i felt strong and impressed that i did it.,Strength
415,415,i started doing squats. i didn't feel great about it because they were not very fun activities.,Strength
416,416,i did 10 sit ups. it really hurt.,Strength
417,417,i did one pull up.  i felt proud.,Strength
418,418,i just finished a yoga with addriene video relaxed and happy,Aerobic
419,419,i just went for a bike ride hungry and cold,Aerobic
420,420,i just finished a 45 minute yoga session. i feel so much more relaxed!,Aerobic
421,421,just walked three miles. my shins are sore and i feel so out of shape.,Aerobic
422,422,i went for a run on the treadmill. i was super out of breath.,Aerobic
423,423,"i went to yoga class. i am tired, but feel strong and more relaxed",Aerobic
424,424,i attended a three-hour yoga workshop i felt relaxed but exhausted.,Aerobic
425,425,i played tennis at the park with a friend. i need to practice my tennis more!,Aerobic
426,426,i just squatted 300lbs for 15 reps. i felt strong but i'm also tired now.,Strength
427,427,i rode my bike for 1 hour. i felt confident and in shape.,Aerobic
428,428,i rode a bike for 15 minutes i felt energized,Aerobic
429,429,i played tennis with my dad i felt happy,Aerobic
430,430,i ran five miles. i felt really strong and proud of myself.,Aerobic
431,431,i did a nike workout at the gym. i could feel my muscles.,Aerobic
432,432,i just lifted weights for 30 minutes.  i felt strong.,Strength
433,433,i just hiked for an hour. i felt exhausted.,Aerobic
434,434,i walked a mile. i felt warmed up.,Aerobic
435,435,i did bench press for five minutes i felt drained after,Strength
436,436,i did 20 burpees i felt amazing and awake,Aerobic
437,437,i did 50 pushups i felt really tired and sore,Strength
438,438,i just road a bike for 5 miles i felt good but tired,Aerobic
439,439,my second workout i walked 4 miles after my workout i felt energized,Aerobic
440,440,i did 40 burpees i felt very tired,Aerobic
441,441,i went for a mile run i felt very tired,Aerobic
442,442,i walked a mile. i am out of shape!,Aerobic
443,443,i did 50 pull ups. my arms feel sore.,Strength
444,444,"i walked 5 miles. after the workout, i felt tired but happy.",Aerobic
445,445,"i cycled 20 miles. i was exhausted during the ride, it had been so long since i was on a bike.",Aerobic
446,446,shot basketball with a group of people i was out of breath and exhausted,Aerobic
